Date,Control Point,Arrival / Departure,Hong Kong Residents,Mainland Visitors,Other Visitors,Total
1/1/2024,Airport,Arrival,59647,4851,10011,74509
1/1/2024,Airport,Departure,19330,11546,30575,61451
2/1/2024,Airport,Arrival,47450,6715,13580,67745
2/1/2024,Airport,Departure,23922,7870,27863,59655
3/1/2024,Airport,Arrival,36822,7505,16242,60569
3/1/2024,Airport,Departure,24330,6400,22206,52936
4/1/2024,Airport,Arrival,30057,6704,17216,53977
4/1/2024,Airport,Departure,25699,5186,16894,47779
5/1/2024,Airport,Arrival,29506,7050,17919,54475
5/1/2024,Airport,Departure,28070,6348,16889,51307
6/1/2024,Airport,Arrival,33311,7237,16273,56821
6/1/2024,Airport,Departure,25796,6035,18362,50193
7/1/2024,Airport,Arrival,38936,7287,14987,61210
7/1/2024,Airport,Departure,24984,8645,21244,54873
8/1/2024,Airport,Arrival,29348,7256,16265,52869
8/1/2024,Airport,Departure,24500,6832,17871,49203
9/1/2024,Airport,Arrival,24998,5995,14655,45648
9/1/2024,Airport,Departure,22197,6280,15204,43681
10/1/2024,Airport,Arrival,23985,6741,15272,45998
10/1/2024,Airport,Departure,24528,6549,15198,46275
11/1/2024,Airport,Arrival,22164,7499,16891,46554
11/1/2024,Airport,Departure,26278,6574,15241,48093
12/1/2024,Airport,Arrival,23898,8960,17735,50593
12/1/2024,Airport,Departure,29083,7510,17099,53692
13-01-2024,Airport,Arrival,26255,8390,17994,52639
13-01-2024,Airport,Departure,25521,7021,15709,48251
14-01-2024,Airport,Arrival,34095,8248,16421,58764
14-01-2024,Airport,Departure,22824,9676,20798,53298
15-01-2024,Airport,Arrival,29107,9368,16505,54980
15-01-2024,Airport,Departure,22291,7710,16582,46583
16-01-2024,Airport,Arrival,24117,8093,15456,47666
16-01-2024,Airport,Departure,19570,7356,16245,43171
17-01-2024,Airport,Arrival,23696,9221,16488,49405
17-01-2024,Airport,Departure,21744,7451,14819,44014
18-01-2024,Airport,Arrival,20882,9047,18415,48344
18-01-2024,Airport,Departure,24780,7703,14516,46999
19-01-2024,Airport,Arrival,22969,11114,20191,54274
19-01-2024,Airport,Departure,27882,9014,16351,53247
20-01-2024,Airport,Arrival,24648,11701,18384,54733
20-01-2024,Airport,Departure,24496,9997,16940,51433
21-01-2024,Airport,Arrival,31279,11386,16040,58705
21-01-2024,Airport,Departure,21015,12401,21758,55174
22-01-2024,Airport,Arrival,25297,11228,16100,52625
22-01-2024,Airport,Departure,20962,10873,18343,50178
23-01-2024,Airport,Arrival,22507,11229,15154,48890
23-01-2024,Airport,Departure,18135,10875,16499,45509
24-01-2024,Airport,Arrival,21041,11189,16145,48375
24-01-2024,Airport,Departure,21068,11122,15365,47555
25-01-2024,Airport,Arrival,19078,11639,19263,49980
25-01-2024,Airport,Departure,24450,11302,15163,50915
26-01-2024,Airport,Arrival,20852,12240,20472,53564
26-01-2024,Airport,Departure,26917,12719,16624,56260
27-01-2024,Airport,Arrival,22095,14187,17753,54035
27-01-2024,Airport,Departure,23847,13492,17588,54927
28-01-2024,Airport,Arrival,29198,13870,14748,57816
28-01-2024,Airport,Departure,20933,14526,23558,59017
29-01-2024,Airport,Arrival,24559,14146,13733,52438
29-01-2024,Airport,Departure,18904,12354,19378,50636
30-01-2024,Airport,Arrival,22043,13190,11701,46934
30-01-2024,Airport,Departure,17291,13385,17708,48384
31-01-2024,Airport,Arrival,21509,13281,12477,47267
31-01-2024,Airport,Departure,20871,14432,16116,51419
1/2/2024,Airport,Arrival,18194,14040,16160,48394
1/2/2024,Airport,Departure,23631,15274,13946,52851
2/2/2024,Airport,Arrival,18736,13773,15503,48012
2/2/2024,Airport,Departure,27824,16281,15089,59194
3/2/2024,Airport,Arrival,20656,15056,14602,50314
3/2/2024,Airport,Departure,28387,15829,15692,59908
4/2/2024,Airport,Arrival,25238,15129,11621,51988
4/2/2024,Airport,Departure,23120,15615,20260,58995
5/2/2024,Airport,Arrival,22011,14846,9840,46697
5/2/2024,Airport,Departure,21708,16750,16177,54635
6/2/2024,Airport,Arrival,19840,15618,9118,44576
6/2/2024,Airport,Departure,33375,15615,13812,62802
7/2/2024,Airport,Arrival,21152,17138,12223,50513
7/2/2024,Airport,Departure,46023,11561,10981,68565
8/2/2024,Airport,Arrival,22902,17444,16448,56794
8/2/2024,Airport,Departure,50573,9516,9205,69294
9/2/2024,Airport,Arrival,18425,13191,17586,49202
9/2/2024,Airport,Departure,60485,5942,6781,73208
10/2/2024,Airport,Arrival,15659,15127,17116,47902
10/2/2024,Airport,Departure,49687,7223,7481,64391
11/2/2024,Airport,Arrival,17292,17937,13100,48329
11/2/2024,Airport,Departure,39349,10866,11911,62126
12/2/2024,Airport,Arrival,26994,17682,10993,55669
12/2/2024,Airport,Departure,34397,12898,15258,62553
13-02-2024,Airport,Arrival,45037,12699,8336,66072
13-02-2024,Airport,Departure,31605,14318,15111,61034
14-02-2024,Airport,Arrival,42578,14947,10141,67666
14-02-2024,Airport,Departure,26422,15187,14298,55907
15-02-2024,Airport,Arrival,40851,17636,12223,70710
15-02-2024,Airport,Departure,28570,15004,12165,55739
16-02-2024,Airport,Arrival,45486,17689,12528,75703
16-02-2024,Airport,Departure,25739,14913,11039,51691
17-02-2024,Airport,Arrival,54467,13446,10800,78713
17-02-2024,Airport,Departure,25552,13418,12065,51035
18-02-2024,Airport,Arrival,61938,9532,10526,81996
18-02-2024,Airport,Departure,25125,12544,13949,51618
19-02-2024,Airport,Arrival,43974,15547,13852,73373
19-02-2024,Airport,Departure,21866,10541,9612,42019
20-02-2024,Airport,Arrival,32674,16084,15641,64399
20-02-2024,Airport,Departure,19215,9609,9780,38604
21-02-2024,Airport,Arrival,26423,15072,18144,59639
21-02-2024,Airport,Departure,20261,8521,9541,38323
22-02-2024,Airport,Arrival,21279,12573,22463,56315
22-02-2024,Airport,Departure,24921,8392,11207,44520
23-02-2024,Airport,Arrival,21610,10426,25161,57197
23-02-2024,Airport,Departure,28393,10122,14311,52826
24-02-2024,Airport,Arrival,22299,9136,22774,54209
24-02-2024,Airport,Departure,25730,8979,16026,50735
25-02-2024,Airport,Arrival,31026,9332,21600,61958
25-02-2024,Airport,Departure,22713,10120,24805,57638
26-02-2024,Airport,Arrival,27678,9168,22342,59188
26-02-2024,Airport,Departure,21242,7140,22227,50609
27-02-2024,Airport,Arrival,25220,7309,20100,52629
27-02-2024,Airport,Departure,19372,6523,19206,45101
28-02-2024,Airport,Arrival,22532,7463,23310,53305
28-02-2024,Airport,Departure,20651,6867,19092,46610
29-02-2024,Airport,Arrival,21924,7180,20569,49673
29-02-2024,Airport,Departure,25072,7258,18180,50510
1/3/2024,Airport,Arrival,21754,7837,22277,51868
1/3/2024,Airport,Departure,32781,7049,17078,56908
2/3/2024,Airport,Arrival,22720,6950,18733,48403
2/3/2024,Airport,Departure,26943,6330,21134,54407
3/3/2024,Airport,Arrival,29697,6974,16520,53191
3/3/2024,Airport,Departure,24526,7490,25875,57891
4/3/2024,Airport,Arrival,27057,6927,18229,52213
4/3/2024,Airport,Departure,23466,6065,22167,51698
5/3/2024,Airport,Arrival,22960,5629,17310,45899
5/3/2024,Airport,Departure,20034,5869,18646,44549
6/3/2024,Airport,Arrival,21658,6450,16744,44852
6/3/2024,Airport,Departure,22609,5542,16729,44880
7/3/2024,Airport,Arrival,20985,7349,19120,47454
7/3/2024,Airport,Departure,25696,5479,16392,47567
8/3/2024,Airport,Arrival,25161,9476,20924,55561
8/3/2024,Airport,Departure,30803,6201,17400,54404
9/3/2024,Airport,Arrival,24868,6976,20104,51948
9/3/2024,Airport,Departure,26371,6883,17577,50831
10/3/2024,Airport,Arrival,34570,8045,18220,60835
10/3/2024,Airport,Departure,24576,9011,23123,56710
11/3/2024,Airport,Arrival,27722,7379,19020,54121
11/3/2024,Airport,Departure,23610,6365,18498,48473
12/3/2024,Airport,Arrival,23911,6156,15521,45588
12/3/2024,Airport,Departure,21343,5525,16612,43480
13-03-2024,Airport,Arrival,22538,7243,17932,47713
13-03-2024,Airport,Departure,23214,6059,15861,45134
14-03-2024,Airport,Arrival,20590,7546,18476,46612
14-03-2024,Airport,Departure,27507,6783,15991,50281
15-03-2024,Airport,Arrival,25646,9097,21232,55975
15-03-2024,Airport,Departure,30763,6945,17849,55557
16-03-2024,Airport,Arrival,24928,8108,19482,52518
16-03-2024,Airport,Departure,26739,6443,17944,51126
17-03-2024,Airport,Arrival,32985,8078,17991,59054
17-03-2024,Airport,Departure,26086,9103,23454,58643
18-03-2024,Airport,Arrival,27804,8712,18194,54710
18-03-2024,Airport,Departure,26340,7602,18965,52907
19-03-2024,Airport,Arrival,24541,7126,14377,46044
19-03-2024,Airport,Departure,23371,6943,16361,46675
20-03-2024,Airport,Arrival,23746,8716,16816,49278
