Date,Control Point,Arrival / Departure,Hong Kong Residents,Mainland Visitors,Other Visitors,Total
01-01-2023,Lo Wu,Arrival,0,0,0,0
02-01-2023,Lo Wu,Arrival,0,0,0,0
03-01-2023,Lo Wu,Arrival,0,0,0,0
04-01-2023,Lo Wu,Arrival,0,0,0,0
05-01-2023,Lo Wu,Arrival,0,0,0,0
06-01-2023,Lo Wu,Arrival,0,0,0,0
07-01-2023,Lo Wu,Arrival,0,0,0,0
08-01-2023,Lo Wu,Arrival,0,0,0,0
09-01-2023,Lo Wu,Arrival,0,0,0,0
10-01-2023,Lo Wu,Arrival,0,0,0,0
11-01-2023,Lo Wu,Arrival,0,0,0,0
12-01-2023,Lo Wu,Arrival,0,0,0,0
13-01-2023,Lo Wu,Arrival,0,0,0,0
14-01-2023,Lo Wu,Arrival,0,0,0,0
15-01-2023,Lo Wu,Arrival,0,0,0,0
16-01-2023,Lo Wu,Arrival,0,0,0,0
17-01-2023,Lo Wu,Arrival,0,0,0,0
18-01-2023,Lo Wu,Arrival,0,0,0,0
19-01-2023,Lo Wu,Arrival,0,0,0,0
20-01-2023,Lo Wu,Arrival,0,0,0,0
21-01-2023,Lo Wu,Arrival,0,0,0,0
22-01-2023,Lo Wu,Arrival,0,0,0,0
23-01-2023,Lo Wu,Arrival,0,0,0,0
24-01-2023,Lo Wu,Arrival,0,0,0,0
25-01-2023,Lo Wu,Arrival,0,0,0,0
26-01-2023,Lo Wu,Arrival,0,0,0,0
27-01-2023,Lo Wu,Arrival,0,0,0,0
28-01-2023,Lo Wu,Arrival,0,0,0,0
29-01-2023,Lo Wu,Arrival,0,0,0,0
30-01-2023,Lo Wu,Arrival,0,0,0,0
31-01-2023,Lo Wu,Arrival,0,0,0,0
01-02-2023,Lo Wu,Arrival,0,0,0,0
02-02-2023,Lo Wu,Arrival,0,0,0,0
03-02-2023,Lo Wu,Arrival,0,0,0,0
04-02-2023,Lo Wu,Arrival,0,0,0,0
05-02-2023,Lo Wu,Arrival,0,0,0,0
06-02-2023,Lo Wu,Arrival,26392,3865,62,30319
07-02-2023,Lo Wu,Arrival,28657,4175,122,32954
08-02-2023,Lo Wu,Arrival,29873,4991,158,35022
09-02-2023,Lo Wu,Arrival,29434,5165,165,34764
10-02-2023,Lo Wu,Arrival,31738,7300,197,39235
11-02-2023,Lo Wu,Arrival,35701,9099,240,45040
12-02-2023,Lo Wu,Arrival,64259,8373,149,72781
13-02-2023,Lo Wu,Arrival,38603,7942,168,46713
14-02-2023,Lo Wu,Arrival,35054,7060,169,42283
15-02-2023,Lo Wu,Arrival,36779,8236,198,45213
16-02-2023,Lo Wu,Arrival,36583,8664,202,45449
17-02-2023,Lo Wu,Arrival,38031,11213,265,49509
18-02-2023,Lo Wu,Arrival,42022,15191,317,57530
19-02-2023,Lo Wu,Arrival,67635,10851,221,78707
20-02-2023,Lo Wu,Arrival,41962,9326,219,51507
21-02-2023,Lo Wu,Arrival,37911,9846,226,47983
22-02-2023,Lo Wu,Arrival,38129,10367,230,48726
23-02-2023,Lo Wu,Arrival,37840,9934,251,48025
24-02-2023,Lo Wu,Arrival,41018,12453,297,53768
25-02-2023,Lo Wu,Arrival,45166,17253,299,62718
26-02-2023,Lo Wu,Arrival,69027,11902,283,81212
27-02-2023,Lo Wu,Arrival,44841,10484,275,55600
28-02-2023,Lo Wu,Arrival,40938,11089,295,52322
01-03-2023,Lo Wu,Arrival,39691,12129,318,52138
02-03-2023,Lo Wu,Arrival,41220,12323,300,53843
03-03-2023,Lo Wu,Arrival,43718,13939,331,57988
04-03-2023,Lo Wu,Arrival,45797,19202,432,65431
05-03-2023,Lo Wu,Arrival,71532,13104,238,84874
06-03-2023,Lo Wu,Arrival,45026,10333,204,55563
07-03-2023,Lo Wu,Arrival,41658,10133,306,52097
08-03-2023,Lo Wu,Arrival,41606,10676,329,52611
09-03-2023,Lo Wu,Arrival,42209,11963,351,54523
10-03-2023,Lo Wu,Arrival,44096,14166,383,58645
11-03-2023,Lo Wu,Arrival,46996,19099,403,66498
12-03-2023,Lo Wu,Arrival,76656,11803,260,88719
13-03-2023,Lo Wu,Arrival,45501,10600,241,56342
14-03-2023,Lo Wu,Arrival,42155,10768,263,53186
15-03-2023,Lo Wu,Arrival,40263,10163,230,50656
16-03-2023,Lo Wu,Arrival,42358,12096,337,54791
17-03-2023,Lo Wu,Arrival,44771,14379,370,59520
18-03-2023,Lo Wu,Arrival,48548,20241,447,69236
19-03-2023,Lo Wu,Arrival,72595,13911,279,86785
20-03-2023,Lo Wu,Arrival,44928,10134,256,55318
21-03-2023,Lo Wu,Arrival,41518,11591,358,53467
22-03-2023,Lo Wu,Arrival,40647,11335,348,52330
23-03-2023,Lo Wu,Arrival,40797,11683,350,52830
24-03-2023,Lo Wu,Arrival,43351,14531,410,58292
25-03-2023,Lo Wu,Arrival,44854,17455,468,62777
26-03-2023,Lo Wu,Arrival,65990,11061,264,77315
27-03-2023,Lo Wu,Arrival,43615,9096,280,52991
28-03-2023,Lo Wu,Arrival,41424,11348,369,53141
29-03-2023,Lo Wu,Arrival,41124,11381,351,52856
30-03-2023,Lo Wu,Arrival,41479,11030,423,52932
31-03-2023,Lo Wu,Arrival,42533,12248,407,55188
01-04-2023,Lo Wu,Arrival,44644,16741,437,61822
02-04-2023,Lo Wu,Arrival,60267,10617,310,71194
03-04-2023,Lo Wu,Arrival,40810,8009,278,49097
04-04-2023,Lo Wu,Arrival,35568,7839,347,43754
05-04-2023,Lo Wu,Arrival,50975,8727,307,60009
06-04-2023,Lo Wu,Arrival,46510,7981,322,54813
07-04-2023,Lo Wu,Arrival,56725,10211,360,67296
08-04-2023,Lo Wu,Arrival,65735,15265,440,81440
09-04-2023,Lo Wu,Arrival,99560,11902,362,111824
10-04-2023,Lo Wu,Arrival,110619,10520,451,121590
11-04-2023,Lo Wu,Arrival,56998,12351,445,69794
12-04-2023,Lo Wu,Arrival,48560,12119,466,61145
13-04-2023,Lo Wu,Arrival,46472,12468,415,59355
14-04-2023,Lo Wu,Arrival,47000,13903,584,61487
15-04-2023,Lo Wu,Arrival,49735,20848,552,71135
16-04-2023,Lo Wu,Arrival,70697,15256,426,86379
17-04-2023,Lo Wu,Arrival,45751,11329,439,57519
18-04-2023,Lo Wu,Arrival,42631,13026,562,56219
19-04-2023,Lo Wu,Arrival,38985,11169,572,50726
20-04-2023,Lo Wu,Arrival,39727,11368,572,51667
21-04-2023,Lo Wu,Arrival,41163,12922,601,54686
22-04-2023,Lo Wu,Arrival,47015,16338,590,63943
23-04-2023,Lo Wu,Arrival,67183,13031,419,80633
24-04-2023,Lo Wu,Arrival,44836,10533,345,55714
25-04-2023,Lo Wu,Arrival,41810,11656,476,53942
26-04-2023,Lo Wu,Arrival,42749,13045,452,56246
27-04-2023,Lo Wu,Arrival,43936,12511,482,56929
28-04-2023,Lo Wu,Arrival,45754,16426,636,62816
29-04-2023,Lo Wu,Arrival,43576,26854,683,71113
30-04-2023,Lo Wu,Arrival,58583,26579,651,85813
01-05-2023,Lo Wu,Arrival,75276,20459,534,96269
02-05-2023,Lo Wu,Arrival,37715,17018,371,55104
03-05-2023,Lo Wu,Arrival,33924,9712,308,43944
04-05-2023,Lo Wu,Arrival,38725,9745,366,48836
05-05-2023,Lo Wu,Arrival,40765,11654,367,52786
06-05-2023,Lo Wu,Arrival,45069,12099,301,57469
07-05-2023,Lo Wu,Arrival,59317,11195,315,70827
08-05-2023,Lo Wu,Arrival,43257,9541,333,53131
09-05-2023,Lo Wu,Arrival,43159,10183,333,53675
10-05-2023,Lo Wu,Arrival,43808,12304,366,56478
11-05-2023,Lo Wu,Arrival,42587,12347,436,55370
12-05-2023,Lo Wu,Arrival,43706,11666,439,55811
13-05-2023,Lo Wu,Arrival,54714,21152,501,76367
14-05-2023,Lo Wu,Arrival,78319,11817,324,90460
15-05-2023,Lo Wu,Arrival,44873,10243,361,55477
16-05-2023,Lo Wu,Arrival,43548,11027,379,54954
17-05-2023,Lo Wu,Arrival,41267,10319,349,51935
18-05-2023,Lo Wu,Arrival,42342,10456,400,53198
19-05-2023,Lo Wu,Arrival,42976,11684,412,55072
20-05-2023,Lo Wu,Arrival,49189,17727,443,67359
21-05-2023,Lo Wu,Arrival,70586,12670,357,83613
22-05-2023,Lo Wu,Arrival,45171,10209,355,55735
23-05-2023,Lo Wu,Arrival,39304,9436,348,49088
24-05-2023,Lo Wu,Arrival,39551,9934,368,49853
25-05-2023,Lo Wu,Arrival,41660,10390,360,52410
26-05-2023,Lo Wu,Arrival,78417,10756,460,89633
27-05-2023,Lo Wu,Arrival,55710,15235,532,71477
28-05-2023,Lo Wu,Arrival,87649,12222,452,100323
29-05-2023,Lo Wu,Arrival,47351,10070,398,57819
30-05-2023,Lo Wu,Arrival,41918,9705,324,51947
31-05-2023,Lo Wu,Arrival,39509,8582,349,48440
01-06-2023,Lo Wu,Arrival,37777,9856,402,48035
02-06-2023,Lo Wu,Arrival,41225,10458,414,52097
03-06-2023,Lo Wu,Arrival,44456,14174,386,59016
